"送信日","送信時刻","法人コード","店舗コード","部門コード","仕入先コード","出荷業務仕入先コード","伝票区分","伝票番号","行番号","元伝票番号","発注日","納品予定日","入荷予定日","入荷予定時刻","出荷日","発注形態区分","入力区分","直送区分","運送区分","出荷No","梱包識別区分","梱包No","出荷総梱数","出荷ケース数","出荷バラ混載箱数","商品コード区分","ＪＡＮコード","商品コード","オプション使用欄","ＧＴＩＮ","品名漢字","品名カナ","規格名漢字","規格名カナ","発注数","納品数","訂正理由区分","総額取引区分","原単価(税抜)","原単価(税込)","原価金額(税抜)","原価金額(税込)","税額","税区分","税率","売単価（税抜）","売単価（税込）","納品先店舗コード","納品場所コード","納品場所名漢字","納品場所カナ","センター経由区分","センターコード","便区分","カゴ車No","梱包サイズ(縦)","梱包サイズ(高さ)","梱包サイズ(横)","梱包重量","重量識別区分","納入形態区分","出荷単位区分","単位入数","予備(数値)"
"20150106","112906","4","167","9","249706","249706","2","11","1","0","20150105","20150110","20150110","0","20150106","10","1","0","0","41672497060000011","0","0","2","0","0","0","2100509000087","50900008","                    ","              ","ホワイトバラス　　　","                         ","小　　　　　　　　　","                         ","66","66","0","0","150","162","9900","10692","792","1","0.08","217","234","167"," ","　　　","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150106","112906","4","167","9","249706","249706","2","22","1","0","20150106","20150110","20150110","0","20150106","10","1","0","0","41672497060000011","0","0","2","0","0","0","2100509000087","50900008","                    ","              ","ホワイトバラス　　　","                         ","大　　　　　　　　　","                         ","66","66","0","0","150","162","9900","10692","792","1","0.08","217","234","167"," ","　　　","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150106","112906","4","190","9","249706","249706","2","11","1","0","20150105","20150110","20150110","0","20150106","10","1","0","0","41902497060000019","0","0","5","0","0","0","2100509000087","50900008","                    ","              ","ホワイトバラス　　　","                         ","小　　　　　　　　　","                         ","132","132","0","0","150","162","19800","21384","1584","1","0.08","217","234","190","0","資材館","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150106","112906","4","190","9","249706","249706","2","22","1","0","20150106","20150110","20150110","0","20150106","10","1","0","0","41902497060000019","0","0","5","0","0","0","2100509000087","50900008","                    ","              ","ホワイトバラス　　　","                         ","大　　　　　　　　　","                         ","132","132","0","0","150","162","19800","21384","1584","1","0.08","217","234","190","0","資材館","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150106","112906","4","190","9","249706","249706","2","33","1","0","20150106","20150110","20150110","0","20150106","10","1","0","0","41902497060000019","0","0","5","0","0","0","2100203886451","20388645","                    ","              ","山砂１号　　　　　　","                         ","０．１５～２．５㎜／","                         ","66","66","0","0","168","181.44","11088","11975","887","1","0.08","217","234","190","0","資材館","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150106","112906","4","274","9","249706","249706","1","1778055","1","0","20150105","20150107","20150110","0","20150106","10","0","0","0","42742497060000023","0","0","1","0","0","0","2100203780353","20378035",,,"万能砕石（小）　　　","ﾊﾞﾝﾉｳｻｲｾｷ(ｼｮｳ)           ","５～１０㎜／２０ｋｇ","5-10mm/20kg              ","66","66","0","0","168","181.44","11088","11975","887","1","0.08","217","234","274"," ","　　　","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150108","141306","4","121","9","249706","249706","2","11","1","0","20150108","20150113","20150109","0","20150108","10","1","0","0","41212497060000013","0","0","1","0","0","0","2100509000087","50900008","                    ","              ","ホワイトバラス（小）","                         ","２０ｋｇ　　　　　　","                         ","66","66","0","0","150","162","9900","10692","792","1","0.08","217","234","121"," ","　　　","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150114","133839","4","77","9","249706","249706","1","2286211","1","0","20150113","20150115","20150115","0","20150114","10","0","0","0","40772497060000013","0","0","2","0","0","0","2100203780353","20378035",,,"万能砕石（小）　　　","ﾊﾞﾝﾉｳｻｲｾｷ(ｼｮｳ)           ","５～１０㎜／２０ｋｇ","5-10mm/20kg              ","66","66","0","0","168","181.44","11088","11975","887","1","0.08","217","234","77","0","ＤＩＹ","DIYｶﾝ ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150114","133839","4","77","9","249706","249706","1","2286222","1","0","20150113","20150115","20150115","0","20150114","10","0","0","0","40772497060000013","0","0","2","0","0","0","2100203881401","20388140",,,"万能砕石（大）　　　","ﾊﾞﾝﾉｳｻｲｾｷ(ﾀﾞｲ)           ","５～２０㎜／２０ｋｇ","5-20mm/20kg              ","66","66","0","0","168","181.44","11088","11975","887","1","0.08","217","234","77","0","ＤＩＹ","DIYｶﾝ ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150114","133839","4","92","9","249706","249706","2","11","1","0","20150112","20150116","20150115","0","20150114","10","1","0","0","40922497060000016","0","0","4","0","0","0","2100509000087","50900008","                    ","              ","ホワイトバラス（小）","                         ","２０ｋｇ　　　　　　","                         ","132","132","0","0","150","162","19800","21384","1584","1","0.08","217","234","92"," ","　　　","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
"20150114","133839","4","92","9","249706","249706","2","22","1","0","20150112","20150116","20150115","0","20150114","10","1","0","0","40922497060000016","0","0","4","0","0","0","2100203787147","20378714","                    ","              ","土のう／山砂　　　　","                         ","２５ｋｇ　　　　　　","                         ","100","100","0","0","227","245.16","22700","24516","1816","1","0.08","298","321","92"," ","　　　","      ","0","0","0","                    ","0","0","0","0","0","0","0","0","0"
