"受注日","受注時刻","法人コード","法人名漢字","法人名カナ","店舗コード","店舗名漢字","店舗名カナ","仕入先コード","仕入先名漢字","仕入先名カナ","出荷業務仕入先コード","伝票区分","伝票番号","行番号","発注日","納品予定日","発注データ有効期限","EDI発注区分","発注形態区分","発注形態名称漢字","予備（数値）","本部発注区分","部門コード","部門名漢字","部門名カナ","ラインコード","クラスコード","ロケーションコード","商品コード区分","ＪＡＮコード","商品コード","オプション使用欄","ＧＴＩＮ","品名漢字","品名カナ","規格名漢字","規格名カナ","発注数量","最小発注単位数量","発注単位名称漢字","発注単位名称カナ","総額取引区分","原単価(税抜)","原単価(税込)","原価金額(税抜)","原価金額(税込)","税額","税区分","税率","売単価（税抜）","売単価（税込）","特価区分","PB区分","原価区分","用度品区分","納期回答区分","回答納期","色名カナ","柄名カナ","サイズ名カナ","広告コード","伝票出力単位","納品先店舗コード","納品先店舗名漢字","納品先店舗名カナ","納品場所コード","納品場所名漢字","納品場所名カナ","便区分","センター経由区分","センターコード","センター名漢字","センター名カナ"
"20160602","90646","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","207","鹿の子台店　　　　　","ｶﾉｺﾀﾞｲﾃﾝ      ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2015716","1","20160602","20160605","20160804","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","0","0","4573244730102","20452520",,,"アルミコンテナカー　","ｱﾙﾐｺﾝﾃﾅｶｰ                ","ノーパンク仕様　　　","ﾉｰﾊﾟﾝｸｼﾖｳ                ","1","1","ケ　　　","ｹ  ","0","3750","4050","3750","4050","300","1","0.08","6000","6480","0","0","0","0","0",,"      ","      ","     ","0","0","207","鹿の子台店　　　　　","ｶﾉｺﾀﾞｲﾃﾝ      ","0","ホーム","ﾎｰﾑｾﾝﾀ","0","0","0","　　　　　　　　　　","               "
"20160602","90646","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","207","鹿の子台店　　　　　","ｶﾉｺﾀﾞｲﾃﾝ      ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2015720","1","20160602","20160605","20160804","0","30","広告　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","8","7","0","0","4573244730065","20452483",,,"深型一輪車　　　　　","ﾌｶｶﾞﾀｲﾁﾘﾝｼｬ              ","ノーパンク仕様　　　","ﾉｰﾊﾟﾝｸｼﾖｳ                ","5","5","ケ　　　","ｹ  ","0","3400","3672","17000","18360","1360","1","0.08","4612","4980","0","0","0","0","0",,"      ","      ","     ","16110110","0","207","鹿の子台店　　　　　","ｶﾉｺﾀﾞｲﾃﾝ      ","0","ホーム","ﾎｰﾑｾﾝﾀ","0","0","0","　　　　　　　　　　","               "
"20160602","100706","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","173","玉名店　　　　　　　","ﾀﾏﾅﾃﾝ         ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1230611","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","9","20904","0","2100205047003","20504700",,,"スペーサー５０個入り","ｽﾍﾟｰｻｰ50ｺｲﾘ              ","約４０Ｘ５０Ｘ６０　","40X50X60 ﾔｸ13kg          ","20","2","ケ　　　","ｹ  ","0","630","680.4","12600","13608","1008","1","0.08","1093","1180","0","0","0","0","0",,"      ","      ","     ","0","0","173","玉名店　　　　　　　","ﾀﾏﾅﾃﾝ         ","0","本館　","ﾎﾝｶﾝ  ","0","0","0","　　　　　　　　　　","               "
"20160602","100706","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","38","今宿店　　　　　　　","ｲﾏｼﾞｭｸﾃﾝ      ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","1267976","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","7","0","0","2100203958967","20395896",,,"路盤材　　　　　　　","ﾛﾊﾞﾝｻﾞｲ                  ","２０ｋｇ　　　　　　","20kg                     ","66","66","ケ　　　","ｹ  ","0","165","178.2","10890","11761","871","1","0.08","276","298","0","0","0","0","0",,"      ","      ","     ","0","0","38","今宿店　　　　　　　","ｲﾏｼﾞｭｸﾃﾝ      "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","120639","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","139","南萩店　　　　　　　","ﾐﾅﾐﾊｷﾞﾃﾝ      ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2270741","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","7","0","0","2100203787147","20378714",,,"土のう／山砂　　　　","ﾄﾞﾉｳ/ﾔﾏｽﾞﾅ               ","２５ｋｇ　　　　　　","25kg                     ","50","50","ケ　　　","ｹ  ","0","227","245.16","11350","12258","908","1","0.08","298","321","0","0","0","0","0",,"      ","      ","     ","0","0","139","南萩店　　　　　　　","ﾐﾅﾐﾊｷﾞﾃﾝ      "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","120639","4","Ｋナフコ　　　　　　","ｶ) ﾅﾌｺ         ","139","南萩店　　　　　　　","ﾐﾅﾐﾊｷﾞﾃﾝ      ","249706","㈱ジー・オー・ディ　","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ ","249706","1","2270752","1","20160602","20160604","20160803","0","10","補充　","0","0","9","エクステリア　　　　","ｴｸｽﾃﾘｱ         ","7","7","0","0","2100203787215","20378721",,,"土のう／バラス　　　","ﾄﾞﾉｳ/ﾊﾞﾗｽ                ","２５ｋｇ　　　　　　","25kg                     ","50","50","ケ　　　","ｹ  ","0","227","245.16","11350","12258","908","1","0.08","298","321","0","0","0","0","0",,"      ","      ","     ","0","0","139","南萩店　　　　　　　","ﾐﾅﾐﾊｷﾞﾃﾝ      "," ","　　　","      ","0","0","0","　　　　　　　　　　","               "
"20160602","140656","4","Ｋナフコ","ｶ) ﾅﾌｺ","224","滋賀大津店","ｼｶﾞｵｵﾂﾃﾝ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","7947030","1","20160602","20160609","20160808","0","40","客注","0","0","9","エクステリア","ｴｸｽﾃﾘｱ","7","9","0","0","2100205044729","20504472","2222490019154       "," ","羽子板付束石Ｈ１２０","ﾊｺﾞｲﾀﾂｷﾂｶｲｼ H-120","１２０ｘ１８０","120X180X120 ﾔｸ6.8kg","64","64","ケ　","ｹ  ","0","260","280.8","16640","17971","1331","1","0.08","459","495","0","0","0","0","0",," "," "," ","0","0","224","滋賀大津店","ｼｶﾞｵｵﾂﾃﾝ","0","ホーム","ﾎｰﾑｾﾝﾀ","0","0","0","　　　　　　　　　　","               "
"20160602","140656","4","Ｋナフコ","ｶ) ﾅﾌｺ","224","滋賀大津店","ｼｶﾞｵｵﾂﾃﾝ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","7947041","1","20160602","20160609","20160808","0","40","客注","0","0","9","エクステリア","ｴｸｽﾃﾘｱ","7","9","0","0","2100205045023","20504502","2222490019154       "," ","羽子板付束石Ｈ２４０","ﾊｺﾞｲﾀﾂｷﾂｶｲｼ H-240","１２０ｘ２００","120X200X240 ﾔｸ13kg","60","12","ケ　","ｹ  ","0","510","550.8","30600","33048","2448","1","0.08","829","895","0","0","0","0","0",," "," "," ","0","0","224","滋賀大津店","ｼｶﾞｵｵﾂﾃﾝ","0","ホーム","ﾎｰﾑｾﾝﾀ","0","0","0","　　　　　　　　　　","               "
"20160602","140656","4","Ｋナフコ","ｶ) ﾅﾌｺ","140","玉島店","ﾀﾏｼﾏﾃﾝ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","7969415","1","20160602","20160604","20160803","0","40","客注","0","0","9","エクステリア","ｴｸｽﾃﾘｱ","7","7","0","0","2100203958967","20395896","2214090023885       "," ","路盤材","ﾛﾊﾞﾝｻﾞｲ","２０ｋｇ","20kg","66","66","ケ　","ｹ  ","0","165","178.2","10890","11761","871","1","0.08","276","298","0","0","0","0","0",," "," "," ","0","0","140","玉島店","ﾀﾏｼﾏﾃﾝ","0","本館","ﾎﾝｶﾝ","0","0","0","　　　　　　　　　　","               "
"20160602","180657","4","Ｋナフコ","ｶ) ﾅﾌｺ","17","直方店","ﾉｵｶﾞﾀﾃﾝ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","7554632","1","20160602","20160604","20160803","0","40","客注","0","0","9","エクステリア","ｴｸｽﾃﾘｱ","7","10","0","0","2100205042121","20504212","2201790013255       "," ","溜桝落蓋式２４０フタ","ﾀﾒﾏｽｵﾄｼﾌﾞﾀｼｷ240ﾌﾀ","外径約３３０×３３０","ｶﾞｲｹｲﾔｸ330*330*35 ﾔｸ8kg","6","2","ケ　","ｹ  ","0","215","232.2","1290","1393","103","1","0.08","320","345","0","0","0","0","0",," "," "," ","0","0","17","直方店","ﾉｵｶﾞﾀﾃﾝ"," ","　"," ","0","0","0","　　　　　　　　　　","               "
