"受信日","受信時刻","法人コード","法人名漢字","法人名カナ","店舗コード","店舗名漢字","店舗名カナ","部門コード","部門名漢字","部門名カナ","仕入先コード","仕入先名漢字","仕入先名カナ","支払仕入先コード","支払仕入先名漢字","支払仕入先名カナ","出荷業務仕入先コード","伝票区分","赤黒区分","伝票番号","行番号","元伝票番号","発生日","仕入計上日","商品コード区分","ＪＡＮコード","商品コード","オプション使用欄","ＧＴＩＮ","品名漢字","品名カナ","規格名漢字","規格名カナ","数量","総額取引区分","原単価(税抜)","原単価(税込)","原価金額(税抜)","原価金額(税込)","税区分","税率","税額","売単価(税抜)","売単価(税込)","特価区分","PB区分","原価区分","受領区分","理由区分","理由コード","理由漢字","連絡事項１","連絡事項２","納品先店舗コード","納品先店舗名漢字","納品先店舗名カナ","センター経由区分","センターコード","センター名漢字"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","203","豊田店","ﾄﾖﾀﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","1122332","1","0","20160523","20160530","0","4573244730027","20452445","249706"," ","ノーパンクタイヤ","ﾉｰﾊﾟﾝｸﾀｲﾔ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","830","896.4","4150","4482","1","0.08","332","1436","1550","0","0","0","1","0","0","　","　","　","203","豊田店","ﾄﾖﾀﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","93","竹原店","ﾀｹﾊﾗﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","1392624","1","0","20160523","20160530","0","4573244730034","20452452","249706"," ","軽量ノーパンクタイヤ","ｹｲﾘｮｳﾉｰﾊﾟﾝｸﾀｲﾔ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","845","912.6","4225","4563","1","0.08","338","1556","1680","0","0","0","1","0","0","　","　","　","93","竹原店","ﾀｹﾊﾗﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","93","竹原店","ﾀｹﾊﾗﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","1392635","1","0","20160523","20160530","0","4573244730010","20452438","249706"," ","チューブタイヤ","ﾁｭｰﾌﾞﾀｲﾌﾟ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","499","538.92","2495","2694","1","0.08","199","832","898","0","0","0","1","0","0","　","　","　","93","竹原店","ﾀｹﾊﾗﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","93","竹原店","ﾀｹﾊﾗﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","1392646","1","0","20160523","20160530","0","4573244730027","20452445","249706"," ","ノーパンクタイヤ","ﾉｰﾊﾟﾝｸﾀｲﾔ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","830","896.4","4150","4482","1","0.08","332","1436","1550","0","0","0","1","0","0","　","　","　","93","竹原店","ﾀｹﾊﾗﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","93","竹原店","ﾀｹﾊﾗﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","1401330","1","0","20160523","20160530","0","4573244730041","20452469","249706"," ","浅型一輪車","ｱｻｶﾞﾀｲﾁﾘﾝｼｬ","ノーパンク仕様","ﾉｰﾊﾟﾝｸｼﾖｳ","5","0","2660","2872.8","13300","14364","1","0.08","1064","3408","3680","0","0","0","1","0","0","　","　","　","93","竹原店","ﾀｹﾊﾗﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","334","美作インター店","ﾐﾏｻｶｲﾝﾀｰﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","1790670","1","0","20160523","20160530","0","4573244730027","20452445","249706"," ","ノーパンクタイヤ","ﾉｰﾊﾟﾝｸﾀｲﾔ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","830","896.4","4150","4482","1","0.08","332","1436","1550","0","0","0","1","0","0","　","　","　","334","美作インター店","ﾐﾏｻｶｲﾝﾀｰﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","2158030","1","0","20160523","20160530","0","4573244730034","20452452","249706"," ","軽量ノーパンクタイヤ","ｹｲﾘｮｳﾉｰﾊﾟﾝｸﾀｲﾔ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","845","912.6","4225","4563","1","0.08","338","1556","1680","0","0","0","1","0","0","　","　","　","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","2158041","1","0","20160523","20160530","0","4573244730010","20452438","249706"," ","チューブタイヤ","ﾁｭｰﾌﾞﾀｲﾌﾟ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","499","538.92","2495","2694","1","0.08","199","832","898","0","0","0","1","0","0","　","　","　","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","2158052","1","0","20160523","20160530","0","4573244730027","20452445","249706"," ","ノーパンクタイヤ","ﾉｰﾊﾟﾝｸﾀｲﾔ","一輪車用","ｲﾁﾘﾝｼｬﾖｳ","5","0","830","896.4","4150","4482","1","0.08","332","1436","1550","0","0","0","1","0","0","　","　","　","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","2182773","1","0","20160523","20160530","0","2100205045641","20504564","249706"," ","角型旗立石","ｶｸｶﾞﾀﾊﾀﾀﾃｲｼ","約１５５Ｘ２５０Ｘ２","155X250X270 ﾔｸ27.6kg","15","0","610","658.8","9150","9882","1","0.08","732","834","900","0","0","0","1","0","0","　","　","　","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","0","0","　"
"20160531","65530","4","Ｋナフコ","ｶ) ﾅﾌｺ","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","9","エクステリア","ｴｸｽﾃﾘｱ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","㈱ジー・オー・ディ","K.K.ｼﾞｰ･ｵｰ･ﾃﾞｨ","249706","1","0","2182810","1","0","20160523","20160530","0","2100205041445","20504144","249706"," ","１ｍＵ字溝９０本体","1mUｼﾞｺｳ90ﾎﾝﾀｲ","内径約９０×９０×１","ﾅｲｹｲﾔｸ90*90*600 ﾔｸ20","27","0","725","783","19575","21141","1","0.08","1566","1000","1080","0","0","0","1","0","0","　","　","　","33","柳川店","ﾔﾅｶﾞﾜﾃﾝ","0","0","　"
